"BKK_tag","gene","row","column","code"
"BKK06360","guaA","A",1,"111111"
"BKK06440","purB","A",2,"110111"
"BKK15490","pyrB","A",3,"101111"
"BKK06500","purM","A",4,"100111"
"BKK17890","tkt","A",5,"011111"
"BKK40420","purA","A",6,"010111"
"BKK06530","purD","A",7,"001111"
"BKK06480","purL","A",8,"000111"
"BKK06450","purC","B",1,"111110"
"BKK03040","amyE","B",2,"110110"
"BKK15540","pyrD","B",3,"101110"
"BKK15780","cpgA","B",4,"100110"
"BKK06460","purS","B",5,"011110"
"BKK06320","yeaB","B",6,"010110"
"BKK06490","purF","B",7,"001110"
"BKK06510","purN","B",8,"000110"
"BKK06420","purE","C",1,"111101"
"BKK24520","mntR","C",2,"110101"
"BKK38170","qoxA","C",3,"101101"
"BKK22370","aspB","C",4,"100101"
"BKK40560","yybP","C",5,"011101"
"BKK14580","pdhA","C",6,"010101"
"BKK20410","yorE","C",7,"001101"
"BKK06470","purQ","C",8,"000101"
"BKK15500","pyrC","D",1,"111100"
"BKK06073","ydzW","D",2,"110100"
"BKK15560","pyrE","D",3,"101100"
"BKK15470","pyrR","D",4,"100100"
"BKK17460","glnA","D",5,"011100"
"BKK11520","mecA","D",6,"010100"
"BKK28450","sdhC","D",7,"001100"
"BKK15550","pyrF","D",8,"000100"
"BKK39030","yxiT","E",1,"111011"
"BKK28440","sdhA","E",2,"110011"
"BKK15530","pyrK","E",3,"101011"
"BKK36810","atpD","E",4,"100011"
"BKK24290","xseB","E",5,"011011"
"BKK31410","yugG","E",6,"010011"
"BKK40529","yyzH","E",7,"001011"
"BKK21240","yomS","E",8,"000011"
"BKK30670","luxS","F",1,"111010"
"BKK00050","yaaB","F",2,"110010"
"BKK15520","pyrAB","F",3,"101010"
"BKK24110","yqzF","F",4,"100010"
"BKK25400","yqeY","F",5,"011010"
"BKK36910","ywlG","F",6,"010010"
"BKK22900","ypfB","F",7,"001010"
"BKK29750","aroA","F",8,"000010"
"BKK09740","yheF","G",1,"111001"
"BKK27850","nadA","G",2,"110001"
"BKK27860","nadC","G",3,"101001"
"BKK13680","motB","G",4,"100001"
"BKK27870","nadB","G",5,"011001"
"BKK10720","gerPA","G",6,"010001"
"BKK26950","yraG","G",7,"001001"
"BKK34770","yvcJ","G",8,"000001"
"BKK15510","pyrAA","H",1,"111000"
"BKK15420","divIVA","H",2,"110000"
"BKK03200","ycgM","H",3,"101000"
"BKK00600","yabP","H",4,"100000"
"BKK03620","yclA","H",5,"011000"
"BKK35310","yvyD (hpf)","H",6,"010000"
"BKK17430","ynbA (hflX)","H",7,"001000"
